id,barcode,recipient_name,address,city_district,package_type,size,dimensions_cm,weight_kg,fragile,priority,payment_method,cod_amount_eur,insurance_value_eur,special_instructions,order_date,status
1,KE00000179,Vladimír Bogdán,"Cottbuská 71, Košice - Dargovských hrdinov",Dargovských hrdinov,Dokument,XS,10x10x5,0.46,Áno,Štandard,Dobierka,120.17,1303.27,,2026-05-18,Čaká na doručenie
2,KE00000243,Patrik Kováčik,"Údolná 115/1, Košice - Lorinčík",Lorinčík,Elektronika,XXL,116x77x67,21.11,Áno,Ekonomický,Platba vopred,,694.47,Nevystavovať vlhku,2026-05-12,Čaká na doručenie
3,KE00000322,Zuzana Nagy,"Šrobárova 138, Košice - Sídlisko KVP",Sídlisko KVP,Knihy,XL,73x55x45,19.97,Nie,Štandard,Dobierka,117.81,,Nevystavovať vlhku,2026-05-14,Čaká na doručenie
4,KE00000498,Dávid Kiss,"Poľná 117/24, Košice - Poľov",Poľov,Dokument,M,26x22x17,1.7,Nie,Expres,Platba vopred,,1851.53,Skladovať v chlade,2026-05-11,Čaká na doručenie
5,KE00000592,Michal Gáborík,"Moldavská 84/50, Košice - Krásna",Krásna,Dokument,XS,11x11x5,0.26,Nie,Štandard,Firemná faktura,,,,2026-05-15,Čaká na doručenie
6,KE00000690,Adam Máté,"Viničná 68, Košice - Myslava",Myslava,Nábytok,XL,72x54x45,18.78,Nie,Štandard,Firemná faktura,,228.2,,2026-05-17,Čaká na doručenie
7,KE00000710,Helena Mészáros,"Uralská 17, Košice - Západ",Západ,Balík,XL,72x54x45,17.94,Nie,Expres,Firemná faktura,,324.73,Nevystavovať vlhku,2026-05-13,Čaká na doručenie
8,KE00000849,Igor Krajčí,"Horná 46/7, Košice - Kavečany",Kavečany,Knihy,XXL,120x80x70,17.96,Nie,Expres,Platba vopred,,1858.91,Horná strana nahor,2026-05-13,Čaká na doručenie
9,KE00000964,Lukáš Vincze,"Trieda SNP 62/6, Košice - Sever",Sever,Náhradný diel,L,56x45x33,14.69,Nie,Expres,Platba vopred,,,,2026-05-14,Čaká na doručenie
10,KE00001039,Dušan Sándor,"Kyjevská 52/26, Košice - Juh",Juh,Dokument,M,29x24x19,2.83,Áno,Štandard,Dobierka,279.19,1265.89,Nezalomovať,2026-05-15,Čaká na doručenie
11,KE00001164,Milan Fedor,"Ťahanovská 85, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Nábytok,XXL,119x79x69,31.57,Nie,Štandard,Firemná faktura,,867.79,Nevystavovať vlhku,2026-05-15,Čaká na doručenie
12,KE00001219,Marek Tóth,"Kamenná 14/42, Košice - Lorinčík",Lorinčík,Dokument,L,54x43x32,12.21,Nie,Štandard,Firemná faktura,,,Volať vopred,2026-05-16,Čaká na doručenie
13,KE00001343,Tereza Kováč,"Slnečná 26, Košice - Myslava",Myslava,Krehký tovar,XS,11x11x5,0.44,Áno,Štandard,Firemná faktura,,1970.76,Doručiť osobne,2026-05-18,Čaká na doručenie
14,KE00001477,Alžbeta Katona,"Záhradná 109/47, Košice - Myslava",Myslava,Elektronika,XXL,119x79x69,17.6,Áno,Ekonomický,Platba vopred,,958.81,Nezalomovať,2026-05-13,Čaká na doručenie
15,KE00001582,Richard Szabó,"Lomonosovova 131, Košice - Západ",Západ,Potraviny,XL,66x49x41,26.27,Nie,Štandard,Dobierka,299.29,,Skladovať v chlade,2026-05-17,Čaká na doručenie
16,KE00001622,Jakub Molnár,"Mníšska 67, Košice - Vyšné Opátske",Vyšné Opátske,Oblečenie,S,18x13x9,0.44,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
17,KE00001743,Eva Szabó,"Galvaniho 55/9, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Náhradný diel,S,18x14x9,0.48,Nie,Expres,Platba vopred,,1757.47,,2026-05-14,Čaká na doručenie
18,KE00001845,Tibor Király,"Moskovská trieda 142, Košice - Dargovských hrdinov",Dargovských hrdinov,Oblečenie,S,21x16x10,0.57,Nie,Štandard,Platba vopred,,,,2026-05-17,Čaká na doručenie
19,KE00001965,Pavel Kováčik,"Partizánska 86/41, Košice - Sídlisko KVP",Sídlisko KVP,Náhradný diel,XXL,117x78x68,38.23,Áno,Štandard,Platba vopred,,1109.52,,2026-05-18,Čaká na doručenie
20,KE00002032,Martin Balogh,"Ďumbierska 79, Košice - Nad jazerom",Nad jazerom,Knihy,S,21x16x10,1.4,Nie,Expres,Platba vopred,,1601.78,,2026-05-15,Čaká na doručenie
21,KE00002139,Andrea Katona,"Lorinčícka 46/22, Košice - Lorinčík",Lorinčík,Dokument,XXL,134x89x78,20.67,Áno,Štandard,Platba vopred,,1592.74,Krehké - opatrne,2026-05-11,Čaká na doručenie
22,KE00002243,Radoslav Szabó,"Trieda SNP 50, Košice - Sever",Sever,Náhradný diel,M,28x23x18,2.79,Áno,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
23,KE00002352,Mária Fodor,"Adlerova 112, Košice - Sídlisko KVP",Sídlisko KVP,Nábytok,XL,95x71x59,6.12,Áno,Štandard,Platba vopred,,1331.83,Skladovať v chlade,2026-05-13,Čaká na doručenie
24,KE00002410,Andrea Molnár,"Herlianska 77/43, Košice - Šaca",Šaca,Elektronika,L,53x43x32,8.76,Áno,Štandard,Platba vopred,,,Skladovať v chlade,2026-05-14,Čaká na doručenie
25,KE00002591,Barbora Király,"Záhradnícka 54, Košice - Košická Nová Ves",Košická Nová Ves,Elektronika,XXL,111x74x65,27.67,Áno,Štandard,Platba vopred,,,Volať vopred,2026-05-17,Čaká na doručenie
